iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,expStartText.started,expStartText.stopped,expStartKey.keys,expStartKey.rt,expStartKey.started,expStartKey.stopped,blockStartText.started,blockStartText.stopped,blockStartKey.keys,blockStartKey.rt,blockStartKey.started,blockStartKey.stopped,visCueText.started,visCueText.stopped,fixDot.started,fixDot.stopped,fixDotBlue.started,fixDotBlue.stopped,soundStim.started,soundStim.stopped,trialKey.keys,trialKey.rt,trialKey.started,trialKey.stopped,blockEndText.started,blockEndText.stopped,blockEndKey.keys,blockEndKey.rt,blockEndKey.started,blockEndKey.stopped,expEndText.started,expEndText.stopped,expEndKey.keys,expEndKey.rt,expEndKey.started,expEndKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,8.143803899991326,None,space,13.224360899999738,9.111455100006424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,0,1,0,323,232,3221,0,0,0,0,0,0,0,0,,,,,,,32.363246799999615,None,space,1.5485486999968998,32.363246799999615,None,34.948669999983395,35.96650869998848,35.94990569999209,40.75321279998752,40.736667299992405,None,36.9334671099874,None,['up'],[1.7431042999960482],40.736667299992405,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,0,1,0,131,213,3232,0,0,0,0,0,1,1,1,,,,,,,,,,,,,49.743916599982185,50.7447444999998,50.72800259999349,55.531885799980955,55.531885799980955,None,51.728926110002796,54.54745449998882,['down'],[0.5077006999927107],55.531885799980955,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,1,1,1,121,232,2321,0,0,0,0,0,2,2,2,,,,,,,,,,,,,64.53906029998325,65.53972349999822,65.53972349999822,70.3441010999959,70.32681009999942,None,66.54141750999551,None,['up'],[0.38480060000438243],70.32681009999942,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,0,0,0,112,333,1332,0,0,0,0,0,3,3,3,,,,,,,,,,,,,79.33489589998499,80.33512129998417,80.33512129998417,85.13876959998743,85.13876959998743,78.35195489999023,81.33553560998698,None,['down'],[0.35739360001753084],85.13876959998743,78.35195489999023,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,1,1,0,0,212,323,2331,0,0,0,0,0,4,4,4,,,,,,,,,,,,,94.1628332999826,95.1634412999847,95.1472972999909,99.95093709998764,99.93415919999825,None,96.14819861000578,98.96689509999123,['up'],[0.3856839000072796],99.93415919999825,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,1,0,1,0,121,213,3323,0,0,0,0,0,5,5,5,,,,,,,,,,,,,108.94150879999506,109.94204560000799,109.94204560000799,114.74615880000056,114.74615880000056,None,110.94350661000644,None,None,,114.74615880000056,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,0,1,1,231,313,1211,0,0,0,0,0,6,6,6,,,,,,,,,,,,,123.75401579999016,124.75447709998116,124.75447709998116,129.55812889998197,129.55812889998197,None,125.75493671000876,None,None,,129.55812889998197,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,1,1,0,233,121,2232,0,0,0,0,0,7,7,7,,,,,,,,,,,,,138.53205690000323,139.53252380000777,139.53252380000777,144.33626769998227,144.33626769998227,None,140.5337947099848,None,None,,144.33626769998227,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,1,0,1,123,312,1312,0,0,0,0,0,8,8,8,,,,,,,,,,,,,153.3439037000062,154.3446311999869,154.32829400000628,159.13161109999055,159.13161109999055,None,155.32906540999247,158.1478736999852,None,,159.13161109999055,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,1,1,1,122,231,1311,0,0,0,0,0,9,9,9,,,,,,,,,,,,,168.13914179999847,169.13993899998604,169.13993899998604,173.9438040999812,173.92683129999205,167.155788700009,170.14058210998482,172.95933399998466,None,,173.92683129999205,167.155788700009,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,1,1,1,131,312,1333,0,0,0,0,0,10,10,10,,,,,,,,,,,,,182.91769750000094,183.91866520000622,183.91866520000622,188.72234380000737,188.72234380000737,181.93373019999126,184.91905460999405,187.73797349998495,None,,188.72234380000737,181.93373019999126,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,1,0,0,311,123,2312,0,0,0,0,0,11,11,11,,,,,,,,,,,,,197.7498631000053,198.76631259999704,198.73081219999585,203.53413759998512,203.53413759998512,196.74759389998508,199.73127070998598,None,None,,203.53413759998512,196.74759389998508,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,1,1,1,333,121,2332,0,0,0,0,0,12,12,12,,,,,,,,,,,,,212.54177819998586,213.54260310000973,213.54260310000973,218.34604460000992,218.34604460000992,None,214.54305851000535,None,None,,218.34604460000992,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,1,1,0,312,221,3121,0,0,0,0,0,13,13,13,,,,,,,,,,,,,227.33682289998978,228.33769620000385,228.33769620000385,233.14144919998944,233.14144919998944,None,229.33820231000718,232.15751920000184,None,,233.14144919998944,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,0,1,0,223,132,2322,0,0,0,0,0,14,14,14,,,,,,,,,,,,,242.16519319999497,243.16651690000435,243.14922140000272,247.9529298999987,247.9529298999987,None,244.15063480998796,None,None,,247.9529298999987,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,1,0,0,131,312,2112,0,0,0,0,0,15,15,15,,,,,,,,,,,,,256.9438444999978,257.9448158000014,257.9448158000014,262.74844409999787,262.74844409999787,None,258.9450244100095,None,None,,262.74844409999787,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,1,1,0,232,323,2313,0,0,0,0,0,16,16,16,,,,,,,,,,,,,271.73905390000436,272.73986189998686,272.73986189998686,277.5433674000087,277.5433674000087,None,273.7409892100055,None,None,,277.5433674000087,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,0,0,1,123,231,2332,0,0,0,0,0,17,17,17,,,,,,,,,,,,,286.5510001000075,287.5513905999833,287.5513905999833,292.35531799998716,292.35531799998716,None,288.55286740998565,None,None,,292.35531799998716,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,0,1,1,213,321,1311,0,0,0,0,0,18,18,18,,,,,,,,,,,,,301.3461161000014,302.34839060000377,302.34839060000377,307.1515250999946,307.1515250999946,None,303.3476926100062,306.1665452999878,None,,307.1515250999946,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,1,1,0,0,131,323,1123,0,0,0,0,0,19,19,19,,,,,,,,,,,,,316.1248160999967,317.12545210000826,317.12545210000826,321.92942870000843,321.92942870000843,None,318.12668590999385,320.9449447999941,None,,321.92942870000843,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,1,1,0,332,121,2113,0,0,0,0,0,20,20,20,,,,,,,,,,,,,330.9533443999826,331.95403890000307,331.9374825999839,336.74125259998254,336.74125259998254,329.95337999999174,332.9382836099918,335.75746210000943,None,,336.74125259998254,329.95337999999174,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,0,1,1,313,231,3323,0,0,0,0,0,21,21,21,,,,,,,,,,,,,345.73164449998876,346.7324934999924,346.7324934999924,351.5365590000001,351.5365590000001,None,347.7334820100019,None,None,,351.5365590000001,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,0,0,1,1,221,133,3113,0,0,0,0,0,22,22,22,,,,,,,,,,,,,360.5434930000047,361.5445619999955,361.5445619999955,366.3484523000079,366.3484523000079,None,362.5455040100002,None,None,,366.3484523000079,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,0,0,0,1,213,321,1221,0,0,0,0,0,23,23,23,,,,,,,,,,,,,375.3389046000084,376.33980560000055,376.33980560000055,381.1439529999916,381.1439529999916,None,377.34125800999175,380.15957789999084,None,,381.1439529999916,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,1,0,0,313,232,1122,0,0,0,0,0,24,24,24,,,,,,,,,,,,,390.1677756999852,391.16824539998197,391.15178869999363,395.95544590000645,395.95544590000645,None,392.153205010001,None,None,,395.95544590000645,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,1,0,0,1,312,231,2133,0,0,0,0,0,25,25,25,,,,,,,,,,,,,404.94632299998193,405.9468157000083,405.9468157000083,410.75066950000473,410.75066950000473,None,406.94809460998806,409.7664192999946,None,,410.75066950000473,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,0,1,1,212,323,2133,0,0,0,0,0,26,26,26,,,,,,,,,,,,,419.7414764999994,420.742531099997,420.742531099997,425.54591990000335,425.5290183000034,None,421.74295160998884,None,None,,425.5290183000034,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,1,1,1,1,121,212,2122,0,0,0,0,0,27,27,27,,,,,,,,,,,,,434.5198325999954,435.5207136000099,435.5207136000099,440.3241402999847,440.3241402999847,433.5360001999943,436.5216763099976,None,None,,440.3241402999847,433.5360001999943,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,0,0,0,323,232,2121,0,0,0,0,0,28,28,28,,,,,,,,,,,,,449.3316783999908,450.3325057000038,450.3325057000038,455.13673289999133,455.13673289999133,448.349238099996,451.3333388099942,None,None,,455.13673289999133,448.349238099996,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,1,0,1,0,123,312,1223,0,0,0,0,0,29,29,29,,,,,,,,,,,,,464.1437602000078,465.14419009999256,465.14419009999256,469.9483830000099,469.9315213999944,None,466.14536000998635,None,None,,469.9315213999944,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
1,1,1,0,1,132,321,2231,0,0,0,0,0,30,30,30,,,,,,,,,,,,,478.9389733999851,479.9399956999987,479.9399956999987,484.7436228999868,484.7436228999868,477.957020700007,480.9407055099815,483.7589413000096,None,,484.7436228999868,477.957020700007,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
0,1,0,0,1,313,231,1133,0,0,0,0,0,31,31,31,,,,,,,,,,,,,493.7513215999934,494.75174519998836,494.75174519998836,499.5555248000019,499.5555248000019,None,495.75277020998476,None,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down', 'down']","[0.21250200000940822, 0.34084160000202246, 0.5245700000086799, 0.6606400999880861, 0.8125490999955218, 0.9726270999817643, 1.124463799991645, 1.2527523000026122, 1.3963930000027176, 1.5567102000059094, 1.692576100002043, 1.8686833000101615, 2.164771599986125, 2.356562800006941, 2.5402913999860175, 2.820845999987796, 2.9966024000023026, 3.276232899981551, 3.436732700007269, 3.7007367000041995, 3.844459999992978, 4.12439589999849, 4.508194399997592, 4.66037860000506, 4.892602000007173, 5.052749700000277, 5.3003046000085305, 5.460130099992966, 5.6923901999834925, 5.876538999989862, 6.09254789998522, 6.315885099989828, 6.524349199986318, 6.836337299988372, 7.06027489999542, 7.3004606000031345, 7.572373900009552, 7.868446399981622]",499.5555248000019,None,,,,,,,,,,,,,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.5784117000003,None,space,22.0461278000148,507.5784117000003,None,529.6463084999996,None,space,2.1614074999815784,529.6463084999996,None,2,001,2022_Apr_21_1038,expStairCase,2021.2.3,59.99552433821862,
